Rank	Country Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	Active Cases	Serious, Critical	TotÂ Cases/1M pop	Deaths/1M pop	Total Tests	Tests/1M pop	Population
1	USA	6862152	33851	201980	632	4141168	2519004	14292	20706	609	95032718	286748	331415157
2	India	5212686	96793	84404	1174	4109828	1018454	8944	3769	61	60565728	43797	1382863649
3	Brazil	4430227	8541	134363	189	3720312	575552	8318	20811	631	14617980	68668	212879694
4	Russia	1085281	5762	19061	144	895868	170352	2300	7436	131	41748928	286054	145947910
5	Peru	744400		31051		587717	125632	1452	22511	939	3592221	108632	33067784
6	Colombia	736377		23478		610078	102821	863	14440	460	3247366	63678	50996981
7	Mexico	680931	4444	71978	300	485024	123929	2747	5270	557	1545572	11961	129217812
8	South Africa	653444		15705		584195	53544	539	10989	264	3961179	66613	59465326
9	Spain	625651	11291	30405	162			1331	13380	650	10756835	230050	46758670
10	Argentina	589012		12229	113	456347	120436	3118	13007	270	1653616	36517	45283297
